word,COCA-Acad
cut,"13,634"
average,"13,613"
break,"13,592"
requirement,"13,576"
broad,"13,566"
grade,"13,531"
citizen,"13,516"
feeling,"13,514"
observation,"13,512"
boy,"13,478"
visual,"13,475"
writing,"13,475"
stop,"13,472"
race,"13,466"
artist,"13,442"
answer,"13,415"
river,"13,389"
difficulty,"13,377"
love,"13,377"
outside,"13,331"
base,"13,241"
island,"13,224"
soon,"13,223"
back,"13,222"
instead,"13,218"
left,"13,215"
British,13181
hundred,"13,175"
realize,"13,174"
advantage,"13,163"
collect,"13,161"
Soviet,13158
regional,"13,153"
perceive,"13,146"
Catholic,13136
ie,"13,129"
manager,"13,120"
urban,"13,119"
powerful,"13,096"
remove,"13,095"
son,"13,089"
female,"13,060"
forest,"13,010"
capacity,"13,001"
educator,"13,000"
increased,"12,996"
writer,"12,994"
introduce,"12,987"
off,"12,985"
cancer,"12,985"
lot,"12,978"
ensure,"12,973"
crisis,"12,919"
opinion,"12,902"
select,"12,852"
debate,"12,823"
division,"12,799"
whom,"12,794"
moreover,"12,762"
faith,"12,759"
tree,"12,740"
ten,"12,732"
museum,"12,715"
join,"12,715"
emphasize,"12,685"
win,"12,682"
regarding,"12,681"
sure,"12,660"
strength,"12,651"
behind,"12,650"
institute,"12,650"
operate,"12,647"
expert,"12,638"
anything,"12,629"
extend,"12,623"
connection,"12,620"
second,"12,618"
competition,"12,593"
sector,"12,563"
best,"12,553"
rise,"12,550"
voice,"12,537"
commitment,"12,532"
manage,"12,502"
involved,"12,493"
detail,"12,491"
everything,"12,488"
interpretation,"12,483"
lie,"12,464"
above,"12,455"
sit,"12,400"
evaluate,"12,392"
thousand,"12,382"
sun,"12,377"
message,"12,373"
conclude,"12,359"
sea,"12,350"
truth,"12,349"
trial,"12,347"
near,"12,341"
notion,"12,286"
increasingly,"12,280"
location,"12,275"
domestic,"12,267"
distance,"12,261"
marriage,"12,252"
officer,"12,233"
someone,"12,232"
attend,"12,221"
election,"12,219"
consist,"12,201"
regulation,"12,193"
contemporary,"12,180"
sign,"12,172"
peace,"12,169"
lesson,"12,160"
reference,"12,151"
consumer,"12,144"
criteria,"12,138"
web,"12,135"
foundation,"12,113"
background,"12,112"
initial,"12,096"
target,"12,089"
easily,"12,080"
adopt,"12,066"
quickly,"12,060"
comparison,"12,058"
southern,"12,057"
depend,"12,016"
attempt,"12,012"
implement,"12,007"
standard,"11,991"
predict,"11,984"
pain,"11,965"
employ,"11,963"
hope,"11,958"
definition,"11,955"
athlete,"11,953"
certainly,"11,950"
remember,"11,931"
news,"11,929"
kill,"11,905"
essential,"11,870"
up,"11,861"
contact,"11,847"
force,"11,843"
sound,"11,842"
stay,"11,814"
attack,"11,801"
frequently,"11,800"
colleague,"11,797"
actual,"11,772"
brain,"11,769"
fish,"11,738"
lawyer,"11,729"
dimension,"11,722"
account,"11,722"
theme,"11,702"
since,"11,694"
largely,"11,684"
planet,"11,656"
link,"11,650"
desire,"11,634"
wall,"11,619"
other,"11,605"
speech,"11,604"
overall,"11,602"
useful,"11,584"
construction,"11,559"
consistent,"11,557"
return,"11,556"
mention,"11,541"
distribution,"11,539"
minority,"11,538"
annual,"11,534"
analyze,"11,523"
range,"11,521"
normal,"11,519"
wife,"11,516"
rest,"11,488"
player,"11,480"
expectation,"11,476"
psychological,"11,472"
unique,"11,454"
road,"11,450"
little,"11,447"
each,"11,420"
customer,"11,413"
experiment,"11,408"
trend,"11,407"
exchange,"11,401"
combine,"11,399"
machine,"11,330"
seven,"11,301"
percentage,"11,300"
doctor,"11,298"
objective,"11,293"
contribution,"11,291"
implication,"11,291"
fully,"11,278"
enable,"11,242"
eight,"11,209"
organize,"11,191"
eventually,"11,181"
abuse,"11,156"
else,"11,134"
specifically,"11,133"
currently,"11,126"
right,"11,118"
emotional,"11,103"
replace,"11,050"
locate,"11,035"
exposure,"11,028"
suffer,"11,006"
progress,"11,004"
chance,"11,000"
scholar,"10,992"
primarily,"10,992"
enhance,"10,980"
improvement,"10,976"
flow,"10,970"
spiritual,"10,957"
commercial,"10,949"
help,"10,930"
beginning,"10,927"
temperature,"10,924"
estimate,"10,905"
everyone,"10,898"
expression,"10,875"
phase,"10,870"
rural,"10,841"
typically,"10,841"
above,"10,820"
equipment,"10,818"
growing,"10,815"
long-term,"10,807"
turn,"10,799"
deep,"10,780"
telescope,"10,776"
responsible,"10,755"
involvement,"10,723"
expand,"10,720"
topic,"10,719"
core,"10,713"
fear,"10,708"
walk,"10,686"
summer,"10,685"
volume,"10,676"
village,"10,665"
visit,"10,659"
approximately,"10,656"
clinical,"10,648"
play,"10,647"
save,"10,647"
limited,"10,632"
propose,"10,626"
substance,"10,625"
fill,"10,608"
enjoy,"10,605"
framework,"10,591"
existing,"10,580"
document,"10,564"
reaction,"10,562"
peer,"10,554"
creation,"10,529"
code,"10,521"
share,"10,496"
king,"10,495"
emphasis,"10,485"
industrial,"10,459"
session,"10,458"
campaign,"10,446"
external,"10,434"
watch,"10,413"
waste,"10,380"
card,"10,376"
human,"10,375"
potential,"10,370"
close,"10,360"
average,"10,360"
mean,"10,334"
medicine,"10,316"
red,"10,310"
eastern,"10,298"
climate,"10,272"
investigation,"10,255"
fight,"10,246"
home,"10,243"
thinking,"10,211"
box,"10,200"
mass,"10,184"
alone,"10,177"
scene,"10,176"
complete,"10,162"
explanation,"10,158"
technical,"10,149"
county,"10,123"
executive,"10,113"
adolescent,"10,111"
mechanism,"10,105"
soil,"10,101"
description,"10,073"
cognitive,"10,072"
self,"10,071"
vary,"10,043"
symptom,"10,037"
love,"10,022"
reduction,"10,007"
agent,"9,982"
record,"9,980"
engineering,"9,967"
weapon,"9,958"
call,"9,949"
commission,"9,940"
camera,"9,935"
discipline,"9,933"
fig,"9,926"
construct,"9,897"
fuel,"9,891"
daily,"9,884"
couple,"9,873"
equal,"9,869"
very,"9,852"
disability,"9,841"
arrive,"9,811"
origin,"9,810"
works,"9,796"
concerned,"9,792"
rich,"9,776"
